"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"CLASS 171",0,1,0,1,0,0,0,0,0,0,1,0,0
"CLASS 175",0,1,0,0,0,0,0,0,0,0,1,0,1
"CLASS 20",0,0,0,1,0,0,0,0,0,0,1,0,0
"CLASS 36",0,0,0,0,0,0,0,0,0,0,1,0,1
"CLASS 39",0,1,0,0,0,0,0,0,0,0,1,0,1
"CLASS 40",0,0,0,0,0,0,0,0,0,0,1,0,1
"CLASS 50",0,0,0,1,0,0,0,0,0,0,1,0,0
"CLASS 55",0,1,0,0,0,0,0,0,0,0,1,0,1
"CLASS 60",0,0,0,0,0,0,0,0,0,0,1,0,0
"CMPSC 4",0,0,1,0,0,0,0,0,0,0,0,0,0
"CMPSC 8",0,0,1,0,1,0,0,0,0,0,0,0,0
"CNCSP 101",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 1",0,1,0,0,0,0,0,1,0,0,0,0,0
"COMM 130",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 137",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 153",0,1,0,0,0,0,0,0,0,0,0,0,0
"COMM 87",0,0,1,0,1,0,0,0,0,0,0,0,0
"DANCE 145",0,1,0,0,0,0,0,0,1,0,0,0,0
"DANCE 35",0,0,0,0,0,0,0,0,1,0,0,1,0
"DANCE 36",0,1,0,0,0,0,0,0,1,0,0,0,0
"DANCE 45",0,0,0,0,0,0,0,0,1,0,0,0,0
"DANCEW 36",0,1,0,0,0,0,0,0,1,0,0,0,0
"EACS 103",0,0,0,0,0,0,0,1,0,0,0,1,0
"EACS 134",0,0,0,0,0,0,0,0,1,0,0,1,0
"EACS 140",0,0,0,0,0,0,0,1,0,1,0,0,0
"EACS 156",0,0,0,0,0,0,0,1,0,0,0,1,0
"EACS 164",0,0,0,1,0,0,0,0,0,0,0,1,0
"EACS 186",0,0,0,0,0,0,0,1,0,0,0,1,0
"EACS 21",0,1,0,1,0,0,0,0,0,0,0,1,0
"EACS 3",0,1,0,1,0,0,0,0,0,0,0,1,0
"EACS 4",0,1,0,1,0,0,0,0,0,0,0,1,0
"EACS 40",0,0,0,0,0,0,0,1,0,0,0,1,0
"EACS 5",0,1,0,1,0,0,0,0,0,0,0,1,0
"EACS 7",0,0,0,1,0,0,0,0,0,0,0,1,0
"EACS 80",0,1,0,1,0,0,0,0,0,0,0,1,0
"EARTH 1",0,0,1,0,1,1,0,0,0,0,0,0,0
"EARTH 10",0,0,1,0,1,1,0,0,0,0,0,0,0
"EARTH 104",0,1,0,0,0,0,0,0,0,0,0,0,0
"EARTH 11",0,0,1,0,1,0,0,0,0,0,0,0,0
"EARTH 111",0,0,1,0,0,1,0,0,0,0,0,0,0
"EARTH 117",0,1,0,0,0,0,0,0,0,0,0,0,0
"EARTH 123",0,1,1,0,1,1,0,0,0,0,0,0,0
"EARTH 130",0,1,1,0,1,1,0,0,0,0,0,0,0
"EARTH 161",0,0,1,0,0,1,0,0,0,0,0,0,0
"EARTH 2",0,0,1,0,1,1,0,0,0,0,0,0,0
"EARTH 20",0,0,1,0,1,1,0,0,0,0,0,0,0
